experimentId,targetService,failureType,actualRecoveryDuration,errorRate,averageResponseTime,peakResponseTime,injectedLatencyMilliseconds,affectedServiceCount,cascadingFailure,anomalyLabel,anomalyScore
EXP-001,payment-service,stop,32.9,80.0,1633.5,2005,0,2,1,NORMAL,0.175924
EXP-002,payment-service,stop,13.38,90.0,1629.1,2015,0,2,1,NORMAL,0.18773
EXP-003,payment-service,stop,11.32,90.0,1440.2,2004,0,2,1,NORMAL,0.197721
EXP-004,payment-service,stop,21.19,90.0,1441.4,2003,0,2,1,NORMAL,0.197185
EXP-005,payment-service,stop,31.36,90.0,1458.8,2001,0,2,1,NORMAL,0.182007
EXP-006,order-service,stop,12.99,70.0,1573.8,2003,0,1,0,NORMAL,0.148239
EXP-007,order-service,stop,22.84,80.0,1604.9,2001,0,1,0,NORMAL,0.180329
EXP-008,notification-service,stop,12.05,70.0,1490.3,2006,0,3,1,NORMAL,0.011578
EXP-009,notification-service,stop,23.14,80.0,1635.4,2003,0,3,1,ANOMALY,-3.8e-05
EXP-010,payment-service,restart,11.05,0.0,46.8,61,0,1,0,NORMAL,0.181519
EXP-011,payment-service,restart,21.08,0.0,37.5,52,0,1,0,NORMAL,0.182939
EXP-012,order-service,restart,11.0,0.0,50.5,62,0,1,0,NORMAL,0.078624
EXP-013,order-service,restart,21.13,0.0,49.8,64,0,1,0,NORMAL,0.060794
EXP-014,notification-service,restart,11.08,0.0,41.0,50,0,1,0,NORMAL,0.047529
EXP-015,notification-service,restart,21.07,0.0,68.6,91,0,1,0,ANOMALY,-0.000745
EXP-016,payment-service,stop,11.3,90.0,1432.7,2002,0,2,1,NORMAL,0.199908
EXP-017,order-service,stop,11.01,90.0,1363.1,2002,0,1,0,NORMAL,0.165295
EXP-018,notification-service,stop,11.38,90.0,1450.9,2001,0,3,1,NORMAL,0.009027
EXP-019,payment-service,restart,11.03,0.0,45.2,62,0,1,0,NORMAL,0.182259
EXP-020,order-service,restart,10.99,0.0,37.5,49,0,1,0,NORMAL,0.073106
EXP-021,notification-service,restart,11.02,0.0,40.0,60,0,1,0,NORMAL,0.051863
EXP-022,payment-service,stop,21.11,90.0,1435.8,2001,0,2,1,NORMAL,0.195815
EXP-023,payment-service,stop,8.43,80.0,1642.6,2004,0,2,1,NORMAL,0.184249
EXP-024,payment-service,stop,7.47,70.0,1574.3,2003,0,2,1,NORMAL,0.212269
EXP-025,payment-service,stop,7.47,70.0,1571.4,2002,0,2,1,NORMAL,0.213689
EXP-026,payment-service,stop,7.55,70.0,1578.7,2003,0,2,1,NORMAL,0.211747
EXP-027,payment-service,stop,12.06,50.0,1750.5,3007,0,2,1,NORMAL,0.16119
EXP-028,payment-service,stop,7.63,70.0,1591.8,2005,0,2,1,NORMAL,0.208258
EXP-029,payment-service,stop,7.49,70.0,1568.9,2002,0,2,1,NORMAL,0.212246
EXP-030,payment-service,stop,7.47,70.0,1569.8,2001,0,2,1,NORMAL,0.212722
EXP-031,payment-service,stop,7.45,70.0,1571.4,2002,0,2,1,NORMAL,0.213689
EXP-032,payment-service,stop,12.1,70.0,1532.2,2003,0,2,1,NORMAL,0.212188
EXP-033,payment-service,stop,7.67,70.0,1591.3,2002,0,2,1,NORMAL,0.210111
EXP-034,payment-service,stop,7.44,70.0,1571.3,2002,0,2,1,NORMAL,0.213689
EXP-035,payment-service,stop,7.47,70.0,1571.7,2001,0,2,1,NORMAL,0.212722
EXP-036,payment-service,stop,7.6,70.0,1584.1,2002,0,2,1,NORMAL,0.210669
EXP-037,payment-service,stop,12.06,70.0,1530.0,2002,0,2,1,NORMAL,0.213533
EXP-038,payment-service,stop,11.67,70.0,1491.5,2002,0,2,1,NORMAL,0.208542
EXP-039,payment-service,stop,11.24,90.0,1418.7,2002,0,2,1,NORMAL,0.198637
EXP-040,payment-service,stop,11.08,90.0,1386.6,2002,0,2,1,NORMAL,0.196061
EXP-041,payment-service,stop,21.21,90.0,1447.1,2002,0,2,1,NORMAL,0.197857
EXP-042,payment-service,stop,21.32,90.0,1458.4,2002,0,2,1,NORMAL,0.197527
EXP-043,payment-service,stop,22.85,80.0,1611.1,2002,0,2,1,NORMAL,0.198615
EXP-044,payment-service,stop,21.82,70.0,1507.3,2002,0,2,1,NORMAL,0.202816
EXP-045,payment-service,stop,31.0,90.0,1420.9,2002,0,2,1,NORMAL,0.181164
EXP-046,payment-service,stop,32.32,70.0,1558.6,2002,0,2,1,NORMAL,0.18845
EXP-047,payment-service,stop,31.7,70.0,1491.7,2002,0,2,1,NORMAL,0.188582
EXP-048,payment-service,stop,31.95,70.0,1518.6,2002,0,2,1,NORMAL,0.189069
EXP-049,payment-service,stop,62.89,80.0,1611.7,2002,0,2,1,NORMAL,0.117857
EXP-050,payment-service,stop,61.09,90.0,1436.2,2002,0,2,1,NORMAL,0.111803
EXP-051,payment-service,stop,62.39,70.0,1561.6,2001,0,2,1,NORMAL,0.103726
EXP-052,payment-service,stop,61.44,90.0,1469.2,2001,0,2,1,NORMAL,0.111948
EXP-053,payment-service,restart,6.06,0.0,52.1,73,0,1,0,NORMAL,0.150576
EXP-054,payment-service,restart,5.95,0.0,32.5,44,0,1,0,NORMAL,0.16513
EXP-055,payment-service,restart,6.12,0.0,35.4,46,0,1,0,NORMAL,0.162548
EXP-056,payment-service,restart,5.97,0.0,27.5,36,0,1,0,NORMAL,0.159653
EXP-057,payment-service,restart,11.12,0.0,57.9,77,0,1,0,NORMAL,0.158014
EXP-058,payment-service,restart,11.02,0.0,34.1,47,0,1,0,NORMAL,0.187577
EXP-059,payment-service,restart,11.08,0.0,34.2,44,0,1,0,NORMAL,0.187262
EXP-060,payment-service,restart,10.99,0.0,30.5,41,0,1,0,NORMAL,0.18567
EXP-061,payment-service,restart,20.98,0.0,34.0,46,0,1,0,NORMAL,0.186381
EXP-062,payment-service,restart,21.02,0.0,30.3,41,0,1,0,NORMAL,0.183876
EXP-063,payment-service,restart,20.95,0.0,31.9,42,0,1,0,NORMAL,0.181768
EXP-064,payment-service,restart,21.02,0.0,30.8,44,0,1,0,NORMAL,0.185811
EXP-065,payment-service,restart,31.02,0.0,39.6,48,0,1,0,NORMAL,0.165185
EXP-066,payment-service,restart,30.97,0.0,31.9,46,0,1,0,NORMAL,0.162746
EXP-067,payment-service,restart,31.1,0.0,49.2,63,0,1,0,NORMAL,0.160968
EXP-068,payment-service,restart,31.03,0.0,46.7,64,0,1,0,NORMAL,0.160313
EXP-069,payment-service,restart,61.13,0.0,45.4,56,0,1,0,NORMAL,0.107082
EXP-070,payment-service,restart,61.0,0.0,55.6,80,0,1,0,NORMAL,0.106106
EXP-071,payment-service,restart,61.03,0.0,36.4,46,0,1,0,NORMAL,0.120921
EXP-072,payment-service,restart,60.99,0.0,29.2,39,0,1,0,NORMAL,0.113999
EXP-073,order-service,stop,6.37,90.0,1251.6,2001,0,1,0,NORMAL,0.142381
EXP-074,order-service,stop,6.03,90.0,1243.3,2001,0,1,0,NORMAL,0.143131
EXP-075,order-service,stop,6.02,90.0,1250.3,2002,0,1,0,NORMAL,0.147032
EXP-076,order-service,stop,5.98,90.0,1250.5,2002,0,1,0,NORMAL,0.146706
EXP-077,order-service,stop,10.96,90.0,1359.1,2001,0,1,0,NORMAL,0.16462
EXP-078,order-service,stop,11.0,90.0,1361.8,2002,0,1,0,NORMAL,0.165295
EXP-079,order-service,stop,10.96,90.0,1362.2,2001,0,1,0,NORMAL,0.165689
EXP-080,order-service,stop,12.32,70.0,1558.5,2001,0,1,0,NORMAL,0.151779
EXP-081,order-service,stop,22.77,80.0,1603.3,2001,0,1,0,NORMAL,0.180454
EXP-082,order-service,stop,22.79,80.0,1612.8,2001,0,1,0,NORMAL,0.174499
EXP-083,order-service,stop,22.77,80.0,1603.0,2001,0,1,0,NORMAL,0.180152
EXP-084,order-service,stop,22.76,80.0,1603.2,2001,0,1,0,NORMAL,0.180454
EXP-085,order-service,stop,32.88,80.0,1610.7,2001,0,1,0,NORMAL,0.155368
EXP-086,order-service,stop,32.78,80.0,1603.4,2002,0,1,0,NORMAL,0.151553
EXP-087,order-service,stop,32.77,80.0,1602.9,2001,0,1,0,NORMAL,0.162645
EXP-088,order-service,stop,32.81,80.0,1603.8,2001,0,1,0,NORMAL,0.163968
EXP-089,order-service,stop,62.88,80.0,1610.9,2002,0,1,0,NORMAL,0.099551
EXP-090,order-service,stop,62.79,80.0,1603.8,2002,0,1,0,NORMAL,0.10147
EXP-091,order-service,stop,62.78,80.0,1603.7,2002,0,1,0,NORMAL,0.099279
EXP-092,order-service,stop,62.87,80.0,1611.1,2001,0,1,0,NORMAL,0.096391
EXP-093,payment-service,stop,8.54,50.0,1565.4,3017,0,2,1,NORMAL,0.157071
EXP-094,payment-service,stop,7.42,40.0,1531.96,3025,0,2,1,NORMAL,0.13425
EXP-095,payment-service,stop,7.52,42.0,1565.48,3027,0,2,1,NORMAL,0.07649
EXP-096,payment-service,stop,7.68,45.0,1633.7,3023,0,2,1,NORMAL,0.009631
EXP-097,payment-service,stop,12.03,50.0,1746.9,3007,0,2,1,NORMAL,0.16119
EXP-098,payment-service,stop,11.69,52.0,1782.72,3008,0,2,1,NORMAL,0.136573
EXP-099,payment-service,stop,11.24,74.0,1767.86,3007,0,2,1,NORMAL,0.11163
EXP-100,payment-service,stop,11.08,74.0,1768.61,3009,0,2,1,NORMAL,0.027592
EXP-101,payment-service,stop,21.27,70.0,1995.7,3005,0,2,1,NORMAL,0.153479
EXP-102,payment-service,stop,21.37,80.0,2240.64,3009,0,2,1,NORMAL,0.115861
EXP-103,payment-service,stop,23.0,78.0,2447.98,3012,0,2,1,NORMAL,0.091829
EXP-104,payment-service,stop,22.94,78.0,2481.31,3100,0,2,1,NORMAL,0.009758
EXP-105,payment-service,stop,32.58,80.0,2225.5,3023,0,2,1,NORMAL,0.131793
EXP-106,payment-service,stop,32.49,88.0,2459.28,3012,0,2,1,NORMAL,0.098933
EXP-107,payment-service,stop,31.02,88.0,2461.54,3009,0,2,1,NORMAL,0.07979
EXP-108,payment-service,stop,31.67,81.0,2493.32,3023,0,2,1,NORMAL,0.022501
EXP-109,payment-service,stop,62.96,80.0,2411.7,3018,0,2,1,NORMAL,0.065957
EXP-110,payment-service,stop,61.22,84.0,2631.04,3011,0,2,1,NORMAL,0.050817
EXP-111,payment-service,stop,61.18,92.0,2674.7,3010,0,2,1,NORMAL,0.025579
EXP-112,payment-service,stop,61.31,93.0,2695.4,3010,0,2,1,ANOMALY,-0.040554
EXP-113,payment-service,restart,5.95,10.0,19.2,91,0,2,1,NORMAL,0.051027
EXP-114,payment-service,restart,5.96,12.0,112.52,2506,0,2,1,NORMAL,0.044952
EXP-115,payment-service,restart,5.96,12.0,60.64,2508,0,2,1,NORMAL,0.035476
EXP-116,payment-service,restart,6.02,8.0,380.79,2511,0,2,1,ANOMALY,-0.031601
EXP-117,payment-service,restart,11.1,0.0,22.4,87,0,1,0,NORMAL,0.156012
EXP-118,payment-service,restart,11.02,8.0,16.04,123,0,2,1,NORMAL,0.06924
EXP-119,payment-service,restart,11.08,8.0,62.64,2512,0,2,1,NORMAL,0.055398
EXP-120,payment-service,restart,10.98,4.0,249.11,2586,0,2,1,ANOMALY,-0.012357
EXP-121,payment-service,restart,20.98,0.0,18.4,73,0,1,0,NORMAL,0.154679
EXP-122,payment-service,restart,20.95,4.0,19.76,78,0,2,1,NORMAL,0.096183
EXP-123,payment-service,restart,21.4,6.0,21.32,117,0,2,1,NORMAL,0.057908
EXP-124,payment-service,restart,21.07,5.0,38.97,2516,0,2,1,NORMAL,4.4e-05
EXP-125,payment-service,restart,31.08,0.0,26.0,99,0,1,0,NORMAL,0.142962
EXP-126,payment-service,restart,31.14,4.0,16.68,85,0,2,1,NORMAL,0.083359
EXP-127,payment-service,restart,31.07,2.0,35.4,1116,0,2,1,NORMAL,0.04568
EXP-128,payment-service,restart,31.12,4.0,14.03,121,0,2,1,NORMAL,3.8e-05
EXP-129,payment-service,restart,61.07,0.0,25.0,85,0,1,0,NORMAL,0.115934
EXP-130,payment-service,restart,61.06,0.0,15.68,78,0,1,0,NORMAL,0.020702
EXP-131,payment-service,restart,61.11,2.0,14.56,88,0,2,1,NORMAL,0.009797
EXP-132,payment-service,restart,61.13,2.0,13.8,96,0,2,1,ANOMALY,-0.04511
EXP-133,order-service,stop,6.47,60.0,1424.4,5031,0,1,0,NORMAL,0.043782
EXP-134,order-service,stop,6.03,60.0,14.16,101,0,1,0,NORMAL,0.081775
EXP-135,order-service,stop,6.05,64.0,10.38,121,0,1,0,NORMAL,0.024025
EXP-136,order-service,stop,7.95,68.0,1133.52,5004,0,1,0,ANOMALY,-0.046328
EXP-137,order-service,stop,11.03,60.0,15.6,97,0,1,0,NORMAL,0.103028
EXP-138,order-service,stop,12.39,72.0,10.4,93,0,1,0,NORMAL,0.110488
EXP-139,order-service,stop,11.12,74.0,9.38,111,0,1,0,NORMAL,0.066611
EXP-140,order-service,stop,12.45,79.0,679.29,5014,0,1,0,ANOMALY,-0.01673
EXP-141,order-service,stop,22.84,70.0,24.2,189,0,1,0,NORMAL,0.102893
EXP-142,order-service,stop,22.87,80.0,9.04,109,0,1,0,NORMAL,0.115539
EXP-143,order-service,stop,22.88,84.0,7.54,127,0,1,0,NORMAL,0.076165
