experimentId,experimentStartTime,failureStartTime,recoveryTime,targetService,failureType,configuredFailureDuration,actualRecoveryDuration,totalRequests,successfulRequests,failedRequests,errorRate,averageResponseTime,peakResponseTime,affectedServices,cascadingFailure,experimentResult,experimentExecutionStatus,injectedLatencyMilliseconds
"EXP-001","2026-08-22T21:51:41.343Z","2026-08-22T21:51:41.561Z","2026-08-22T21:52:14.465Z","payment-service","stop","30","32.9","10","2","8","80","1633.5","2005","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-002","2026-08-22T22:08:05.223Z","2026-08-22T22:08:06.007Z","2026-08-22T22:08:19.382Z","payment-service","stop","10","13.38","10","1","9","90","1629.1","2015","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-003","2026-08-22T22:08:47.859Z","2026-08-22T22:08:47.957Z","2026-08-22T22:08:59.273Z","payment-service","stop","10","11.32","10","1","9","90","1440.2","2004","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-004","2026-08-22T22:09:01.008Z","2026-08-22T22:09:01.052Z","2026-08-22T22:09:22.246Z","payment-service","stop","20","21.19","10","1","9","90","1441.4","2003","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-005","2026-08-22T22:09:24.097Z","2026-08-22T22:09:24.120Z","2026-08-22T22:09:55.475Z","payment-service","stop","30","31.36","10","1","9","90","1458.8","2001","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-006","2026-08-22T22:09:57.209Z","2026-08-22T22:09:57.230Z","2026-08-22T22:10:10.216Z","order-service","stop","10","12.99","10","3","7","70","1573.8","2003","order-service","false","SUCCESS","COMPLETED","0"
"EXP-007","2026-08-22T22:10:10.354Z","2026-08-22T22:10:10.380Z","2026-08-22T22:10:33.218Z","order-service","stop","20","22.84","10","2","8","80","1604.9","2001","order-service","false","SUCCESS","COMPLETED","0"
"EXP-008","2026-08-22T22:10:33.452Z","2026-08-22T22:10:33.471Z","2026-08-22T22:10:45.522Z","notification-service","stop","10","12.05","10","3","7","70","1490.3","2006","notification-service;payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-009","2026-08-22T22:10:46.529Z","2026-08-22T22:10:46.543Z","2026-08-22T22:11:09.681Z","notification-service","stop","20","23.14","10","2","8","80","1635.4","2003","notification-service;payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-010","2026-08-22T22:11:09.804Z","2026-08-22T22:11:09.820Z","2026-08-22T22:11:20.868Z","payment-service","restart","10","11.05","10","10","0","0","46.8","61","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-011","2026-08-22T22:11:22.891Z","2026-08-22T22:11:22.905Z","2026-08-22T22:11:43.988Z","payment-service","restart","20","21.08","10","10","0","0","37.5","52","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-012","2026-08-22T22:11:45.966Z","2026-08-22T22:11:45.982Z","2026-08-22T22:11:56.980Z","order-service","restart","10","11","10","10","0","0","50.5","62","order-service","false","SUCCESS","COMPLETED","0"
"EXP-013","2026-08-22T22:11:59.038Z","2026-08-22T22:11:59.049Z","2026-08-22T22:12:20.175Z","order-service","restart","20","21.13","10","10","0","0","49.8","64","order-service","false","SUCCESS","COMPLETED","0"
"EXP-014","2026-08-22T22:12:22.163Z","2026-08-22T22:12:22.186Z","2026-08-22T22:12:33.263Z","notification-service","restart","10","11.08","10","10","0","0","41","50","notification-service","false","SUCCESS","COMPLETED","0"
"EXP-015","2026-08-22T22:12:35.242Z","2026-08-22T22:12:35.254Z","2026-08-22T22:12:56.321Z","notification-service","restart","20","21.07","10","10","0","0","68.6","91","notification-service","false","SUCCESS","COMPLETED","0"
"EXP-016","2026-08-22T22:12:58.317Z","2026-08-22T22:12:58.328Z","2026-08-22T22:13:09.625Z","payment-service","stop","10","11.3","10","1","9","90","1432.7","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-017","2026-08-22T22:13:11.393Z","2026-08-22T22:13:11.410Z","2026-08-22T22:13:22.419Z","order-service","stop","10","11.01","10","1","9","90","1363.1","2002","order-service","false","SUCCESS","COMPLETED","0"
"EXP-018","2026-08-22T22:13:24.470Z","2026-08-22T22:13:24.485Z","2026-08-22T22:13:35.862Z","notification-service","stop","10","11.38","10","1","9","90","1450.9","2001","notification-service;payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-019","2026-08-22T22:13:37.542Z","2026-08-22T22:13:37.556Z","2026-08-22T22:13:48.590Z","payment-service","restart","10","11.03","10","10","0","0","45.2","62","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-020","2026-08-22T22:13:50.633Z","2026-08-22T22:13:50.648Z","2026-08-22T22:14:01.634Z","order-service","restart","10","10.99","10","10","0","0","37.5","49","order-service","false","SUCCESS","COMPLETED","0"
"EXP-021","2026-08-22T22:14:03.746Z","2026-08-22T22:14:03.762Z","2026-08-22T22:14:14.783Z","notification-service","restart","10","11.02","10","10","0","0","40","60","notification-service","false","SUCCESS","COMPLETED","0"
"EXP-022","2026-08-22T22:14:16.861Z","2026-08-22T22:14:16.876Z","2026-08-22T22:14:37.990Z","payment-service","stop","20","21.11","10","1","9","90","1435.8","2001","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-023","2026-08-22T22:25:27.782Z","2026-08-22T22:25:27.942Z","2026-08-22T22:25:36.368Z","payment-service","stop","5","8.43","10","2","8","80","1642.6","2004","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-024","2026-08-22T22:25:38.836Z","2026-08-22T22:25:38.854Z","2026-08-22T22:25:46.324Z","payment-service","stop","5","7.47","10","3","7","70","1574.3","2003","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-025","2026-08-22T22:25:49.934Z","2026-08-22T22:25:49.947Z","2026-08-22T22:25:57.421Z","payment-service","stop","5","7.47","10","3","7","70","1571.4","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-026","2026-08-22T22:26:01.044Z","2026-08-22T22:26:01.059Z","2026-08-22T22:26:08.608Z","payment-service","stop","5","7.55","10","3","7","70","1578.7","2003","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-027","2026-08-22T22:26:12.142Z","2026-08-22T22:26:12.155Z","2026-08-22T22:26:24.215Z","payment-service","stop","10","12.06","10","5","5","50","1750.5","3007","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-028","2026-08-22T22:28:07.295Z","2026-08-22T22:28:07.358Z","2026-08-22T22:28:14.989Z","payment-service","stop","5","7.63","10","3","7","70","1591.8","2005","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-029","2026-08-22T22:28:18.387Z","2026-08-22T22:28:18.402Z","2026-08-22T22:28:25.889Z","payment-service","stop","5","7.49","10","3","7","70","1568.9","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-030","2026-08-22T22:28:29.493Z","2026-08-22T22:28:29.509Z","2026-08-22T22:28:36.980Z","payment-service","stop","5","7.47","10","3","7","70","1569.8","2001","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-031","2026-08-22T22:28:40.600Z","2026-08-22T22:28:40.617Z","2026-08-22T22:28:48.069Z","payment-service","stop","5","7.45","10","3","7","70","1571.4","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-032","2026-08-22T22:28:51.718Z","2026-08-22T22:28:51.735Z","2026-08-22T22:29:03.838Z","payment-service","stop","10","12.1","10","3","7","70","1532.2","2003","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-033","2026-08-22T22:30:35.041Z","2026-08-22T22:30:35.062Z","2026-08-22T22:30:42.728Z","payment-service","stop","5","7.67","10","3","7","70","1591.3","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-034","2026-08-22T22:30:46.173Z","2026-08-22T22:30:46.191Z","2026-08-22T22:30:53.634Z","payment-service","stop","5","7.44","10","3","7","70","1571.3","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-035","2026-08-22T22:30:57.271Z","2026-08-22T22:30:57.286Z","2026-08-22T22:31:04.757Z","payment-service","stop","5","7.47","10","3","7","70","1571.7","2001","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-036","2026-08-22T22:31:08.383Z","2026-08-22T22:31:08.401Z","2026-08-22T22:31:15.999Z","payment-service","stop","5","7.6","10","3","7","70","1584.1","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-037","2026-08-22T22:31:19.487Z","2026-08-22T22:31:19.503Z","2026-08-22T22:31:31.567Z","payment-service","stop","10","12.06","10","3","7","70","1530","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-038","2026-08-22T22:31:35.607Z","2026-08-22T22:31:35.628Z","2026-08-22T22:31:47.298Z","payment-service","stop","10","11.67","10","3","7","70","1491.5","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-039","2026-08-22T22:31:51.721Z","2026-08-22T22:31:51.738Z","2026-08-22T22:32:02.980Z","payment-service","stop","10","11.24","10","1","9","90","1418.7","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-040","2026-08-22T22:32:07.827Z","2026-08-22T22:32:07.846Z","2026-08-22T22:32:18.922Z","payment-service","stop","10","11.08","10","1","9","90","1386.6","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-041","2026-08-22T22:32:23.936Z","2026-08-22T22:32:23.953Z","2026-08-22T22:32:45.162Z","payment-service","stop","20","21.21","10","1","9","90","1447.1","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-042","2026-08-22T22:32:50.043Z","2026-08-22T22:32:50.067Z","2026-08-22T22:33:11.387Z","payment-service","stop","20","21.32","10","1","9","90","1458.4","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-043","2026-08-22T22:33:16.146Z","2026-08-22T22:33:16.165Z","2026-08-22T22:33:39.017Z","payment-service","stop","20","22.85","10","2","8","80","1611.1","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-044","2026-08-22T22:33:42.248Z","2026-08-22T22:33:42.265Z","2026-08-22T22:34:04.086Z","payment-service","stop","20","21.82","10","3","7","70","1507.3","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-045","2026-08-22T22:34:08.378Z","2026-08-22T22:34:08.398Z","2026-08-22T22:34:39.394Z","payment-service","stop","30","31","10","1","9","90","1420.9","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-046","2026-08-22T22:34:44.540Z","2026-08-22T22:34:44.565Z","2026-08-22T22:35:16.881Z","payment-service","stop","30","32.32","10","3","7","70","1558.6","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-047","2026-08-22T22:35:20.699Z","2026-08-22T22:35:20.716Z","2026-08-22T22:35:52.416Z","payment-service","stop","30","31.7","10","3","7","70","1491.7","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-048","2026-08-22T22:35:56.830Z","2026-08-22T22:35:56.847Z","2026-08-22T22:36:28.799Z","payment-service","stop","30","31.95","10","3","7","70","1518.6","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-049","2026-08-22T22:36:32.947Z","2026-08-22T22:36:32.967Z","2026-08-22T22:37:35.859Z","payment-service","stop","60","62.89","10","2","8","80","1611.7","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-050","2026-08-22T22:37:39.064Z","2026-08-22T22:37:39.085Z","2026-08-22T22:38:40.178Z","payment-service","stop","60","61.09","10","1","9","90","1436.2","2002","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-051","2026-08-22T22:38:45.221Z","2026-08-22T22:38:45.243Z","2026-08-22T22:39:47.636Z","payment-service","stop","60","62.39","10","3","7","70","1561.6","2001","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-052","2026-08-22T22:39:51.348Z","2026-08-22T22:39:51.370Z","2026-08-22T22:40:52.807Z","payment-service","stop","60","61.44","10","1","9","90","1469.2","2001","payment-service;order-service","true","SUCCESS","COMPLETED","0"
"EXP-053","2026-08-22T22:40:57.455Z","2026-08-22T22:40:57.477Z","2026-08-22T22:41:03.540Z","payment-service","restart","5","6.06","10","10","0","0","52.1","73","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-054","2026-08-22T22:41:09.095Z","2026-08-22T22:41:09.115Z","2026-08-22T22:41:15.065Z","payment-service","restart","5","5.95","10","10","0","0","32.5","44","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-055","2026-08-22T22:41:20.361Z","2026-08-22T22:41:20.391Z","2026-08-22T22:41:26.514Z","payment-service","restart","5","6.12","10","10","0","0","35.4","46","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-056","2026-08-22T22:41:31.512Z","2026-08-22T22:41:31.537Z","2026-08-22T22:41:37.504Z","payment-service","restart","5","5.97","10","10","0","0","27.5","36","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-057","2026-08-22T22:41:42.626Z","2026-08-22T22:41:42.644Z","2026-08-22T22:41:53.762Z","payment-service","restart","10","11.12","10","10","0","0","57.9","77","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-058","2026-08-22T22:41:58.718Z","2026-08-22T22:41:58.731Z","2026-08-22T22:42:09.748Z","payment-service","restart","10","11.02","10","10","0","0","34.1","47","payment-service","false","SUCCESS","COMPLETED","0"
"EXP-059","2026-08-22T22:42:14.820Z","2026-08-22T22:42:14.832Z","2026-08-22T22:42:25.915Z","payment-service","restart","10","11.08","10","10","0","0","34.2","44","payment-service","false","SUCCESS","COMPLETED","0"
