configuredFailureDuration,actualRecoveryDuration,totalRequests,successfulRequests,failedRequests,errorRate,averageResponseTime,peakResponseTime,injectedLatencyMilliseconds,targetService_notification-service,targetService_order-service,targetService_payment-service,failureType_latency,failureType_restart,failureType_stop,cascadingFailure
30,32.9,10,2,8,80.0,1633.5,2005,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,13.38,10,1,9,90.0,1629.1,2015,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.32,10,1,9,90.0,1440.2,2004,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,21.19,10,1,9,90.0,1441.4,2003,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,31.36,10,1,9,90.0,1458.8,2001,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,12.99,10,3,7,70.0,1573.8,2003,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.84,10,2,8,80.0,1604.9,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,12.05,10,3,7,70.0,1490.3,2006,0,1.0,0.0,0.0,0.0,0.0,1.0,1
20,23.14,10,2,8,80.0,1635.4,2003,0,1.0,0.0,0.0,0.0,0.0,1.0,1
10,11.05,10,10,0,0.0,46.8,61,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,21.08,10,10,0,0.0,37.5,52,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,11.0,10,10,0,0.0,50.5,62,0,0.0,1.0,0.0,0.0,1.0,0.0,0
20,21.13,10,10,0,0.0,49.8,64,0,0.0,1.0,0.0,0.0,1.0,0.0,0
10,11.08,10,10,0,0.0,41.0,50,0,1.0,0.0,0.0,0.0,1.0,0.0,0
20,21.07,10,10,0,0.0,68.6,91,0,1.0,0.0,0.0,0.0,1.0,0.0,0
10,11.3,10,1,9,90.0,1432.7,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.01,10,1,9,90.0,1363.1,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,11.38,10,1,9,90.0,1450.9,2001,0,1.0,0.0,0.0,0.0,0.0,1.0,1
10,11.03,10,10,0,0.0,45.2,62,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,10.99,10,10,0,0.0,37.5,49,0,0.0,1.0,0.0,0.0,1.0,0.0,0
10,11.02,10,10,0,0.0,40.0,60,0,1.0,0.0,0.0,0.0,1.0,0.0,0
20,21.11,10,1,9,90.0,1435.8,2001,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,8.43,10,2,8,80.0,1642.6,2004,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.47,10,3,7,70.0,1574.3,2003,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.47,10,3,7,70.0,1571.4,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.55,10,3,7,70.0,1578.7,2003,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,12.06,10,5,5,50.0,1750.5,3007,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.63,10,3,7,70.0,1591.8,2005,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.49,10,3,7,70.0,1568.9,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.47,10,3,7,70.0,1569.8,2001,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.45,10,3,7,70.0,1571.4,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,12.1,10,3,7,70.0,1532.2,2003,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.67,10,3,7,70.0,1591.3,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.44,10,3,7,70.0,1571.3,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.47,10,3,7,70.0,1571.7,2001,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.6,10,3,7,70.0,1584.1,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,12.06,10,3,7,70.0,1530.0,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.67,10,3,7,70.0,1491.5,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.24,10,1,9,90.0,1418.7,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.08,10,1,9,90.0,1386.6,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,21.21,10,1,9,90.0,1447.1,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,21.32,10,1,9,90.0,1458.4,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,22.85,10,2,8,80.0,1611.1,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,21.82,10,3,7,70.0,1507.3,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,31.0,10,1,9,90.0,1420.9,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,32.32,10,3,7,70.0,1558.6,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,31.7,10,3,7,70.0,1491.7,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,31.95,10,3,7,70.0,1518.6,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,62.89,10,2,8,80.0,1611.7,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,61.09,10,1,9,90.0,1436.2,2002,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,62.39,10,3,7,70.0,1561.6,2001,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,61.44,10,1,9,90.0,1469.2,2001,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,6.06,10,10,0,0.0,52.1,73,0,0.0,0.0,1.0,0.0,1.0,0.0,0
5,5.95,10,10,0,0.0,32.5,44,0,0.0,0.0,1.0,0.0,1.0,0.0,0
5,6.12,10,10,0,0.0,35.4,46,0,0.0,0.0,1.0,0.0,1.0,0.0,0
5,5.97,10,10,0,0.0,27.5,36,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,11.12,10,10,0,0.0,57.9,77,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,11.02,10,10,0,0.0,34.1,47,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,11.08,10,10,0,0.0,34.2,44,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,10.99,10,10,0,0.0,30.5,41,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,20.98,10,10,0,0.0,34.0,46,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,21.02,10,10,0,0.0,30.3,41,0,0.0,0.0,1.0,0.0,1.0,0.0,0
