experimentId,anomalyLabel,anomalyScore,resilienceScore,riskLevel
EXP-001,NORMAL,0.175924,63.47,HIGH
EXP-002,NORMAL,0.18773,59.95,HIGH
EXP-003,NORMAL,0.197721,58.16,MEDIUM
EXP-004,NORMAL,0.197185,61.57,HIGH
EXP-005,NORMAL,0.182007,65.18,HIGH
EXP-006,NORMAL,0.148239,38.03,LOW
EXP-007,NORMAL,0.180329,44.83,MEDIUM
EXP-008,NORMAL,0.011578,57.25,MEDIUM
EXP-009,ANOMALY,-3.8e-05,65.1,HIGH
EXP-010,NORMAL,0.181519,2.39,LOW
EXP-011,NORMAL,0.182939,5.78,LOW
EXP-012,NORMAL,0.078624,2.4,LOW
EXP-013,NORMAL,0.060794,5.89,LOW
EXP-014,NORMAL,0.047529,2.35,LOW
EXP-015,ANOMALY,-0.000745,6.03,LOW
EXP-016,NORMAL,0.199908,58.11,MEDIUM
EXP-017,NORMAL,0.165295,42.62,LOW
EXP-018,NORMAL,0.009027,63.24,HIGH
EXP-019,NORMAL,0.182259,2.38,LOW
EXP-020,NORMAL,0.073106,2.29,LOW
EXP-021,NORMAL,0.051863,2.34,LOW
EXP-022,NORMAL,0.195815,61.51,HIGH
EXP-023,NORMAL,0.184249,55.07,MEDIUM
EXP-024,NORMAL,0.212269,51.13,MEDIUM
EXP-025,NORMAL,0.213689,51.11,MEDIUM
EXP-026,NORMAL,0.211747,51.18,MEDIUM
EXP-027,NORMAL,0.16119,49.25,MEDIUM
EXP-028,NORMAL,0.208258,51.28,MEDIUM
EXP-029,NORMAL,0.212246,51.1,MEDIUM
EXP-030,NORMAL,0.212722,51.1,MEDIUM
EXP-031,NORMAL,0.213689,51.1,MEDIUM
EXP-032,NORMAL,0.212188,52.49,MEDIUM
EXP-033,NORMAL,0.210111,51.29,MEDIUM
EXP-034,NORMAL,0.213689,51.1,MEDIUM
EXP-035,NORMAL,0.212722,51.11,MEDIUM
EXP-036,NORMAL,0.210669,51.22,MEDIUM
EXP-037,NORMAL,0.213533,52.46,MEDIUM
EXP-038,NORMAL,0.208542,52.11,MEDIUM
EXP-039,NORMAL,0.198637,58.01,MEDIUM
EXP-040,NORMAL,0.196061,57.78,MEDIUM
EXP-041,NORMAL,0.197857,61.61,HIGH
EXP-042,NORMAL,0.197527,61.71,HIGH
EXP-043,NORMAL,0.198615,59.87,HIGH
EXP-044,NORMAL,0.202816,55.71,MEDIUM
EXP-045,NORMAL,0.181164,64.85,HIGH
EXP-046,NORMAL,0.18845,59.62,HIGH
EXP-047,NORMAL,0.188582,59.03,HIGH
EXP-048,NORMAL,0.189069,59.27,HIGH
EXP-049,NORMAL,0.117857,73.7,CRITICAL
EXP-050,NORMAL,0.111803,75.32,CRITICAL
EXP-051,NORMAL,0.103726,70.02,HIGH
EXP-052,NORMAL,0.111948,75.62,CRITICAL
EXP-053,NORMAL,0.150576,0.72,LOW
EXP-054,NORMAL,0.16513,0.51,LOW
EXP-055,NORMAL,0.162548,0.59,LOW
EXP-056,NORMAL,0.159653,0.48,LOW
EXP-057,NORMAL,0.158014,2.51,LOW
EXP-058,NORMAL,0.187577,2.28,LOW
EXP-059,NORMAL,0.187262,2.3,LOW
EXP-060,NORMAL,0.18567,2.24,LOW
EXP-061,NORMAL,0.186381,5.72,LOW
EXP-062,NORMAL,0.183876,5.7,LOW
EXP-063,NORMAL,0.181768,5.69,LOW
EXP-064,NORMAL,0.185811,5.71,LOW
EXP-065,NORMAL,0.165185,9.22,LOW
EXP-066,NORMAL,0.162746,9.16,LOW
EXP-067,NORMAL,0.160968,9.33,LOW
EXP-068,NORMAL,0.160313,9.29,LOW
EXP-069,NORMAL,0.107082,19.66,LOW
EXP-070,NORMAL,0.106106,19.72,LOW
EXP-071,NORMAL,0.120921,19.56,LOW
EXP-072,NORMAL,0.113999,19.49,LOW
EXP-073,NORMAL,0.142381,40.39,LOW
EXP-074,NORMAL,0.143131,40.23,LOW
EXP-075,NORMAL,0.147032,40.27,LOW
EXP-076,NORMAL,0.146706,40.26,LOW
EXP-077,NORMAL,0.16462,42.58,LOW
EXP-078,NORMAL,0.165295,42.61,LOW
EXP-079,NORMAL,0.165689,42.6,LOW
EXP-080,NORMAL,0.151779,37.71,LOW
EXP-081,NORMAL,0.180454,44.79,MEDIUM
EXP-082,NORMAL,0.174499,44.85,MEDIUM
EXP-083,NORMAL,0.180152,44.79,MEDIUM
EXP-084,NORMAL,0.180454,44.79,MEDIUM
EXP-085,NORMAL,0.155368,48.33,MEDIUM
EXP-086,NORMAL,0.151553,48.25,MEDIUM
EXP-087,NORMAL,0.162645,48.24,MEDIUM
EXP-088,NORMAL,0.163968,48.26,MEDIUM
EXP-089,NORMAL,0.099551,58.69,HIGH
EXP-090,NORMAL,0.10147,58.62,MEDIUM
EXP-091,NORMAL,0.099279,58.61,MEDIUM
EXP-092,NORMAL,0.096391,58.68,MEDIUM
EXP-093,NORMAL,0.157071,47.02,MEDIUM
EXP-094,NORMAL,0.13425,43.24,LOW
EXP-095,NORMAL,0.07649,44.11,MEDIUM
EXP-096,NORMAL,0.009631,45.5,MEDIUM
EXP-097,NORMAL,0.16119,49.22,MEDIUM
EXP-098,NORMAL,0.136573,49.94,MEDIUM
EXP-099,NORMAL,0.11163,56.8,MEDIUM
EXP-100,NORMAL,0.027592,56.75,MEDIUM
EXP-101,NORMAL,0.153479,60.24,HIGH
EXP-102,NORMAL,0.115861,64.87,HIGH
EXP-103,NORMAL,0.091829,65.95,HIGH
EXP-104,NORMAL,0.009758,66.3,HIGH
EXP-105,NORMAL,0.131793,68.69,HIGH
EXP-106,NORMAL,0.098933,72.52,CRITICAL
EXP-107,NORMAL,0.07979,72.02,HIGH
EXP-108,NORMAL,0.022501,70.19,HIGH
EXP-109,NORMAL,0.065957,80.21,CRITICAL
EXP-110,NORMAL,0.050817,82.11,CRITICAL
EXP-111,NORMAL,0.025579,84.91,CRITICAL
EXP-112,ANOMALY,-0.040554,85.4,CRITICAL
EXP-113,NORMAL,0.051027,18.76,LOW
EXP-114,NORMAL,0.044952,24.75,LOW
EXP-115,NORMAL,0.035476,24.46,LOW
EXP-116,ANOMALY,-0.031601,24.98,LOW
EXP-117,NORMAL,0.156012,2.32,LOW
EXP-118,NORMAL,0.06924,19.91,LOW
EXP-119,NORMAL,0.055398,24.96,LOW
EXP-120,ANOMALY,-0.012357,24.82,LOW
EXP-121,NORMAL,0.154679,5.68,LOW
EXP-122,NORMAL,0.096183,21.98,LOW
EXP-123,NORMAL,0.057908,22.87,LOW
EXP-124,NORMAL,4.4e-05,27.32,LOW
